Transaction ID,Date,Customer ID,Customer Name,Gender,Age,Product ID,Product Name,Category,Quantity Sold,Unit Price,Total Sale Amount,Payment Method,Store Location,Salesperson ID,Salesperson Name,Discount Applied,Return Status
TXN00001,2023-03-19,CUST00001,Olu Aisha,Female,27,Keyboard,Electronics,Electronics,8,$181.90,$1455.20,Credit Card,Abuja,SP079,Benita Damilola,$26,Returned
TXN00002,2021-11-27,CUST00002,Kelechi Emeka,Female,43,Laptop Stand,Accessories,Accessories,15,$244.25,$3663.75,POS,Owerri,SP025,Olamide Olufunke,$20,Returned
TXN00003,2021-12-17,CUST00003,Ezinne Nwafor,Male,31,Wireless Mouse,Electronics,Electronics,12,$58.51,$702.12,POS,Kano,SP005,Amarachi Oyinade,10%,Not Returned
TXN00004,2022-12-12,CUST00004,Ada Chinonso,Female,38,Phone Case,Accessories,Accessories,13,$123.47,$1605.11,PayPal,Enugu,SP018,Segun Nkem,19%,Returned
TXN00005,2023-11-05,CUST00005,Onyinye Ugochukwu,Male,32,Laptop Stand,Accessories,Accessories,1,$9.77,$9.77,POS,Abuja,SP089,Oyinade Ronke,$21,Not Returned
TXN00006,2022-03-28,CUST00006,Micheal Olufunke,Male,25,USB Hub,Accessories,Accessories,5,$263.12,$1315.60,POS,Owerri,SP016,Elijah Onyinye,None,Not Returned
TXN00007,2024-02-22,CUST00007,Chizor Olufunke,Male,55,Phone Case,Accessories,Accessories,1,$88.50,$88.50,POS,Port Harcourt,SP081,Chijioke Temitope,None,Returned
TXN00008,2024-03-25,CUST00008,Olu Olamide,Male,51,Power Bank,Electronics,Electronics,4,$233.62,$934.48,Cash,Lagos,SP061,Chike Obinna,5%,Not Returned
TXN00009,2023-01-27,CUST00009,Bola Uzochi,Male,46,Power Bank,Electronics,Electronics,8,$161.27,$1290.16,Credit Card,Abuja,SP008,Femi Juliet,8%,Not Returned
TXN00010,2022-08-19,CUST00010,Ronke Uche,Male,58,USB Hub,Accessories,Accessories,13,$264.47,$3438.11,Credit Card,Jos,SP035,Olamide Uche,6%,Not Returned
TXN00011,2024-02-22,CUST00011,Seyi Fidelis,Female,51,Charger,Accessories,Accessories,4,$285.41,$1141.64,Bank Transfer,Abuja,SP096,Micheal Shola,$40,Returned
